date,club,country,elo
2015-02-01,Genclerbirligi,TUR,1523.25
2015-02-01,Genoa,ITA,1600.41
2015-02-01,Getafe,ESP,1675.7
2015-02-01,Girona,ESP,1616.51
2015-02-01,Granada,ESP,1642.6
2015-02-01,Greuther Furth,GER,1514.87
2015-02-01,Guingamp,FRA,1559.53
2015-02-01,Hamburg,GER,1599.67
2015-02-01,Hannover,GER,1677.45
2015-02-01,Heidenheim,GER,1445.28
2015-02-01,Hertha,GER,1627.6
2015-02-01,Hoffenheim,GER,1717.84
2015-02-01,Huddersfield,ENG,1439.37
2015-02-01,Hull,ENG,1565.58
2015-02-01,Ingolstadt,GER,1561.52
2015-02-01,Inter,ITA,1656.09
2015-02-01,Ipswich,ENG,1569.26
2015-02-01,Juventus,ITA,1897.77
2015-02-01,Kaiserslautern,GER,1554.59
2015-02-01,Karabukspor,TUR,1479.95
2015-02-01,Karlsruhe,GER,1536.39
2015-02-01,Kasimpasa,TUR,1520.56
2015-02-01,Konyaspor,TUR,1452.29
2015-02-01,La Coruna,ESP,1644.71
2015-02-01,Las Palmas,ESP,1648.16
2015-02-01,Lazio,ITA,1683.38
2015-02-01,Le Havre,FRA,1434.03
2015-02-01,Leeds,ENG,1436.1
2015-02-01,Leganes,ESP,1516.63
2015-02-01,Leicester,ENG,1596.67
2015-02-01,Lens,FRA,1503.06
2015-02-01,Levante,ESP,1676.94
2015-02-01,Leverkusen,GER,1799.21
2015-02-01,Lille,FRA,1627.56
2015-02-01,Liverpool,ENG,1814.83
2015-02-01,Livorno,ITA,1457.02
2015-02-01,Lorient,FRA,1552.86
2015-02-01,Lyon,FRA,1748.92
2015-02-01,Mainz,GER,1690.07
2015-02-01,Malaga,ESP,1761.12
2015-02-01,Mallorca,ESP,1543.01
2015-02-01,Man City,ENG,1928.84
2015-02-01,Man United,ENG,1845.19
2015-02-01,Marseille,FRA,1696.69
2015-02-01,Mersin Idman Yurdu,TUR,1459.02
2015-02-01,Metz,FRA,1500.81
2015-02-01,MGladbach,GER,1776.43
2015-02-01,Middlesbrough,ENG,1584.85
2015-02-01,Milan,ITA,1676.16
2015-02-01,Modena,ITA,1447.08
2015-02-01,Monaco,FRA,1736.95
2015-02-01,Montpellier,FRA,1627.67
2015-02-01,Munich 1860,GER,1447.85
2015-02-01,Nancy,FRA,1478.39
2015-02-01,Nantes,FRA,1575.79
2015-02-01,Napoli,ITA,1754.87
2015-02-01,Newcastle,ENG,1667.64
2015-02-01,Nice,FRA,1575.5
2015-02-01,Nimes,FRA,1428.06
2015-02-01,Norwich,ENG,1566.52
2015-02-01,Nottm Forest,ENG,1444.76
2015-02-01,Numancia,ESP,1564.32
2015-02-01,Nurnberg,GER,1532.13
2015-02-01,Osasuna,ESP,1612.62
2015-02-01,Paderborn,GER,1591.56
2015-02-01,Palermo,ITA,1603.32
2015-02-01,Paris SG,FRA,1838.89
2015-02-01,Parma,ITA,1537.95
2015-02-01,Perugia,ITA,1355.7
2015-02-01,Pescara,ITA,1427.66
2015-02-01,QPR,ENG,1562.53
2015-02-01,RB Leipzig,GER,1462.88
2015-02-01,Reading,ENG,1479.74
2015-02-01,Real Madrid,ESP,2081.12
2015-02-01,Recreativo,ESP,1489.44
2015-02-01,Reims,FRA,1541.79
2015-02-01,Rennes,FRA,1560.59
2015-02-01,Rizespor,TUR,1443.47
2015-02-01,Roma,ITA,1765.15
2015-02-01,Sampdoria,ITA,1629.96
2015-02-01,Santander,ESP,1520.33
2015-02-01,Sassuolo,ITA,1568.01
2015-02-01,Schalke 04,GER,1774.7
2015-02-01,Sevilla,ESP,1829.99
2015-02-01,Sivasspor,TUR,1495.08
2015-02-01,Sochaux,FRA,1540.98
2015-02-01,Sociedad,ESP,1736.25
2015-02-01,Southampton,ENG,1784.51
2015-02-01,Sp Gijon,ESP,1648.91
2015-02-01,Spezia,ITA,1439.85
2015-02-01,St Etienne,FRA,1691.21
2015-02-01,St Pauli,GER,1410.34
2015-02-01,Stoke,ENG,1701.77
2015-02-01,Stuttgart,GER,1617.69
2015-02-01,Sunderland,ENG,1643.56
2015-02-01,Swansea,ENG,1671.45
2015-02-01,Tenerife,ESP,1495.16
2015-02-01,Torino,ITA,1630.08
2015-02-01,Tottenham,ENG,1785.7
2015-02-01,Toulouse,FRA,1548.53
2015-02-01,Trabzonspor,TUR,1593.05
2015-02-01,Troyes,FRA,1547.29
