date,club,country,elo
2000-08-15,Duisburg,GER,1544.74
2000-08-15,Eibar,ESP,1576.04
2000-08-15,Ein Frankfurt,GER,1653.92
2000-08-15,Elche,ESP,1531.33
2000-08-15,Empoli,ITA,1559.54
2000-08-15,Erzurumspor,TUR,1348.74
2000-08-15,Espanol,ESP,1785.61
2000-08-15,Everton,ENG,1685.55
2000-08-15,FC Koln,GER,1577.76
2000-08-15,Fenerbahce,TUR,1587.45
2000-08-15,Fiorentina,ITA,1804.57
2000-08-15,Freiburg,GER,1632.55
2000-08-15,Fulham,ENG,1493.96
2000-08-15,Galatasaray,TUR,1789.17
2000-08-15,Gaziantepspor,TUR,1511.73
2000-08-15,Genclerbirligi,TUR,1489.42
2000-08-15,Genoa,ITA,1594.69
2000-08-15,Getafe,ESP,1502.46
2000-08-15,Greuther Furth,GER,1521.84
2000-08-15,Guingamp,FRA,1567.56
2000-08-15,Hamburg,GER,1717.81
2000-08-15,Hannover,GER,1505.91
2000-08-15,Hansa Rostock,GER,1627.64
2000-08-15,Hertha,GER,1660.92
2000-08-15,Huddersfield,ENG,1485.94
2000-08-15,Inter,ITA,1789.29
2000-08-15,Ipswich,ENG,1638.08
2000-08-15,Istanbulspor,TUR,1380.58
2000-08-15,Juventus,ITA,1851.88
2000-08-15,Kaiserslautern,GER,1659.47
2000-08-15,Kocaelispor,TUR,1389.87
2000-08-15,La Coruna,ESP,1844.65
2000-08-15,Las Palmas,ESP,1652.59
2000-08-15,Lazio,ITA,1893.65
2000-08-15,Le Havre,FRA,1582.2
2000-08-15,Le Mans,FRA,1472.63
2000-08-15,Lecce,ITA,1634.58
2000-08-15,Leeds,ENG,1782.55
2000-08-15,Leganes,ESP,1572.32
2000-08-15,Leicester,ENG,1687.89
2000-08-15,Lens,FRA,1747.63
2000-08-15,Levante,ESP,1549.12
2000-08-15,Leverkusen,GER,1827.7
2000-08-15,Lille,FRA,1659.91
2000-08-15,Liverpool,ENG,1770.15
2000-08-15,Lorient,FRA,1485.53
2000-08-15,Lyon,FRA,1699.28
2000-08-15,Mainz,GER,1498.36
2000-08-15,Malaga,ESP,1736.13
2000-08-15,Mallorca,ESP,1800.06
2000-08-15,Man City,ENG,1579.99
2000-08-15,Man United,ENG,1931.95
2000-08-15,Marseille,FRA,1679.14
2000-08-15,Metz,FRA,1670.0
2000-08-15,MGladbach,GER,1575.87
2000-08-15,Middlesbrough,ENG,1679.18
2000-08-15,Milan,ITA,1844.63
2000-08-15,Monaco,FRA,1764.27
2000-08-15,Montpellier,FRA,1628.9
2000-08-15,Monza,ITA,1536.41
2000-08-15,Munich 1860,GER,1676.89
2000-08-15,Murcia,ESP,1470.58
2000-08-15,Nancy,FRA,1633.56
2000-08-15,Nantes,FRA,1683.64
2000-08-15,Napoli,ITA,1597.75
2000-08-15,Newcastle,ENG,1712.19
2000-08-15,Nice,FRA,1525.23
2000-08-15,Nimes,FRA,1446.55
2000-08-15,Norwich,ENG,1460.93
2000-08-15,Nottm Forest,ENG,1516.52
2000-08-15,Numancia,ESP,1689.84
2000-08-15,Nurnberg,GER,1581.25
2000-08-15,Osasuna,ESP,1615.62
2000-08-15,Oviedo,ESP,1723.16
2000-08-15,Paris SG,FRA,1726.12
2000-08-15,Parma,ITA,1792.59
2000-08-15,Perugia,ITA,1658.44
2000-08-15,Pescara,ITA,1563.22
